user,item,label,Gender,Weight,Height,Goal,Calories Burn,Steps,Running Distance,Flights Climbed,Name,Meal,Cooking Difficulty,Time Required,Calories,Author,Description,Making Steps,Nutrition_1,Nutrition_2,Nutrition_3,Nutrition_4,Nutrition_5,Nutrition_6,Nutrition_7,Nutrition_8,Nutrition_9,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Ingredient_5,Ingredient_6,Ingredient_7,Ingredient_8,Ingredient_9,Ingredient_10,Ingredient_11,Date_encoded,DOB_encoded
3,8,5,Female,60,155,Muscle Gain,1800,700,1.0,12,Bruschetta,Others,Easy,20,150,User25,"bruschetta is an italian appetizer made with toasted bread topped with a mixture of tomatoes, basil, garlic, olive oil, and vinegar. it's a simple and refreshing dish that's perfect for summer.","step 1: toast bread: slice baguette and toast until golden brown., step 2: prepare topping: dice tomatoes, mince garlic, and chop basil., step 3: mix: combine tomatoes, garlic, basil, olive oil, and balsamic vinegar., step 4: top bread: spoon tomato mixture onto toasted bread., step 5: serve: serve immediately as an appetizer.",Fat-7.0g,Cholesterol-0.0mg,Sodium-200.0mg,Potassium-100.0mg,Carbohydrate-20.0g,Protein-3.0g,Calcium-20.0mg,Iron-1.0mg,Magnesium-10.0mg,Baguette 1,Tomatoes 3,Garlic 2 cloves,Fresh basil 1/4 cup,Olive oil 3 tbsp,Balsamic vinegar 1 tbsp,missing,missing,missing,missing,missing,8842,21416
3,4,5,Female,60,155,Muscle Gain,1800,700,1.0,12,Ratatouille,Lunch,Easy,40,200,User21,"ratatouille is a french provencal stewed vegetable dish made with eggplant, zucchini, bell peppers, onions, garlic, and tomatoes, seasoned with herbs like thyme and basil. it's a vegetarian dish that's both hearty and healthy.","step 1: prepare vegetables: chop all vegetables into bite-sized pieces., step 2: saute vegetables: in a large pot, saute onions, garlic, and bell peppers., step 3: add remaining vegetables: stir in eggplant, zucchini, and tomatoes., step 4: season: add thyme, basil, salt, and pepper to taste., step 5: simmer: cover and simmer on low heat until vegetables are tender., step 6: serve: garnish with fresh basil leaves.",Fat-8.0g,Cholesterol-0.0mg,Sodium-300.0mg,Potassium-500.0mg,Carbohydrate-30.0g,Protein-5.0g,Calcium-60.0mg,Iron-2.0mg,Magnesium-30.0mg,Eggplant 1,Zucchini 2,Bell peppers 2,Onion 1,Garlic 3 cloves,Tomatoes 3,Thyme 1 tsp,Basil 1/4 cup,missing,missing,missing,8852,21416
6,7,4,Male,75,170,Muscle Gain,1900,650,2.5,11,Chana Masala,Others,Medium,45,220,User24,"chana masala is a popular indian curry made with chickpeas cooked in a spicy and tangy tomato-based sauce, seasoned with various spices like garam masala, cumin, and coriander. it's a flavorful vegetarian dish often served with rice or naan.","step 1: prepare masala: blend tomatoes, onion, garlic, and ginger into a smooth paste., step 2: saute spices: in a pan, saute cumin, coriander, and garam masala., step 3: add masala: add the blended tomato-onion paste and cook until oil separates., step 4: cook chickpeas: add chickpeas, salt, and water. simmer until chickpeas are tender., step 5: serve: garnish with fresh coriander leaves and serve hot with rice or naan.",Fat-6.0g,Cholesterol-0.0mg,Sodium-500.0mg,Potassium-300.0mg,Carbohydrate-35.0g,Protein-8.0g,Calcium-60.0mg,Iron-2.5mg,Magnesium-30.0mg,Chickpeas 2 cups,Tomatoes 2,Onion 1,Garlic 3 cloves,Ginger 1 inch piece,Garam masala 1 tsp,Cumin 1 tsp,Coriander 1 tsp,missing,missing,missing,8855,17738
4,10,2,Male,80,175,Fit,1500,500,1.0,7,Greek Salad,Lunch,Easy,15,210,User27,"greek salad, also known as horiatiki, is a refreshing salad made with tomatoes, cucumbers, red onions, kalamata olives, and feta cheese, dressed with olive oil and seasoned with dried oregano. it's a staple dish in greek cuisine.","step 1: prepare vegetables: chop tomatoes, cucumbers, and red onion., step 2: assemble salad: in a large bowl, combine vegetables and olives., step 3: add cheese: crumble feta cheese over the salad., step 4: dress: drizzle olive oil and sprinkle dried oregano., step 5: toss: gently toss to combine all ingredients., step 6: serve: serve immediately as a side dish or with crusty bread.",Fat-15.0g,Cholesterol-25.0mg,Sodium-400.0mg,Potassium-300.0mg,Carbohydrate-15.0g,Protein-6.0g,Calcium-150.0mg,Iron-1.5mg,Magnesium-20.0mg,Tomatoes 3,Cucumbers 2,Red onion 1,Kalamata olives 1/2 cup,Feta cheese 150 grams,Olive oil 3 tbsp,Dried oregano 1 tsp,missing,missing,missing,missing,8843,18387
5,2,5,Female,58,150,Weight Loss,1600,600,1.5,9,Paella,Dinner,Medium,45,400,User19,"paella is a spanish rice dish originally from valencia. it typically contains a variety of seafood, meats, and vegetables, seasoned with saffron and other spices. it's a flavorful and colorful dish that represents the rich culinary tradition of spain.","step 1: prepare ingredients: chop vegetables, slice chorizo and chicken., step 2: sear meats: brown chicken and chorizo in a paella pan., step 3: saute vegetables: add onions, bell peppers, and garlic., step 4: add rice and saffron: stir in rice and saffron threads., step 5: add broth: pour in chicken broth and simmer until rice is cooked., step 6: add seafood: arrange shrimp on top and cook until pink., step 7: serve: garnish with lemon wedges and parsley.",Fat-10.0g,Cholesterol-60.0mg,Sodium-600.0mg,Potassium-300.0mg,Carbohydrate-60.0g,Protein-20.0g,Calcium-40.0mg,Iron-2.5mg,Magnesium-25.0mg,Arborio rice 2 cups,Chicken thighs 4,Shrimp 300 grams,Chorizo sausage 200 grams,Bell peppers 2,Onion 1,Garlic 3 cloves,Saffron threads 1/2 tsp,missing,missing,missing,8844,22203
1,12,4,Female,55,142,Fit,1400,600,1.5,10,Spaghetti Carbonara,Dinner,Medium,25,450,User29,"spaghetti carbonara is a classic italian pasta dish made with spaghetti, pancetta or bacon, eggs, parmesan cheese, and black pepper. the eggs create a creamy sauce that coats the pasta, resulting in a rich and satisfying dish.","step 1: cook pasta: boil spaghetti in salted water until al dente., step 2: cook pancetta/bacon: in a pan, cook pancetta or bacon until crispy., step 3: prepare sauce: in a bowl, whisk together eggs, grated parmesan, and black pepper., step 4: combine: drain pasta and toss with cooked pancetta/bacon., step 5: add sauce: remove from heat and quickly mix in the egg and cheese mixture., step 6: serve: garnish with additional parmesan and black pepper.",Fat-20.0g,Cholesterol-150.0mg,Sodium-400.0mg,Potassium-200.0mg,Carbohydrate-40.0g,Protein-20.0g,Calcium-150.0mg,Iron-2.0mg,Magnesium-20.0mg,Spaghetti 200 grams,Pancetta or bacon 100 grams,Eggs 2,Parmesan cheese 1/2 cup,Black pepper 1/2 tsp,missing,missing,missing,missing,missing,missing,8860,20188
8,9,2,Male,78,172,Weight Loss,1550,520,1.0,6,Chicken Tagine,Dinner,Medium,60,320,User26,"chicken tagine is a moroccan dish cooked in a traditional clay pot called a tagine. it features tender chicken pieces cooked with preserved lemons, olives, onions, and a blend of moroccan spices like cumin, coriander, and saffron.","step 1: brown chicken: in a tagine or heavy-bottomed pot, brown chicken pieces., step 2: saute aromatics: add chopped onions and minced garlic., step 3: add spices: stir in cumin, coriander, and saffron., step 4: add liquid: add water or chicken broth to cover the chicken., step 5: simmer: cook on low heat until chicken is tender., step 6: add preserved lemons and olives: add chopped preserved lemons and green olives., step 7: serve: garnish with fresh cilantro and serve with couscous.",Fat-15.0g,Cholesterol-80.0mg,Sodium-600.0mg,Potassium-400.0mg,Carbohydrate-20.0g,Protein-25.0g,Calcium-60.0mg,Iron-3.0mg,Magnesium-40.0mg,Chicken thighs 4,Preserved lemons 2,Green olives 1 cup,Onion 1,Garlic 4 cloves,Cumin 1 tsp,Coriander 1 tsp,Saffron threads a pinch,missing,missing,missing,8857,18875
2,13,3,Male,70,165,Weight Loss,1600,550,2.0,8,Soba Noodles,Others,Easy,20,220,User30,"soba noodles are japanese noodles made from buckwheat flour, often served cold with a dipping sauce or in a hot broth with toppings like sliced green onions, seaweed, and tempura. they are a popular and nutritious alternative to other types of noodles.","step 1: cook noodles: boil soba noodles in water until tender., step 2: prepare toppings: slice green onions and seaweed., step 3: serve cold: rinse cooked noodles under cold water and serve with dipping sauce, topped with green onions and seaweed., step 4: serve hot: add cooked noodles to hot broth, garnish with sliced green onions and optional tempura.",Fat-1.0g,Cholesterol-0.0mg,Sodium-500.0mg,Potassium-50.0mg,Carbohydrate-45.0g,Protein-8.0g,Calcium-20.0mg,Iron-2.0mg,Magnesium-30.0mg,Soba noodles 200 grams,Dipping sauce or broth 2 cups,Green onions 2,Seaweed (Nori) 2 sheets,Tempura (optional),missing,missing,missing,missing,missing,missing,8861,19035
9,10,4,Female,57,148,Muscle Gain,1850,680,2.0,10,Greek Salad,Lunch,Easy,15,210,User27,"greek salad, also known as horiatiki, is a refreshing salad made with tomatoes, cucumbers, red onions, kalamata olives, and feta cheese, dressed with olive oil and seasoned with dried oregano. it's a staple dish in greek cuisine.","step 1: prepare vegetables: chop tomatoes, cucumbers, and red onion., step 2: assemble salad: in a large bowl, combine vegetables and olives., step 3: add cheese: crumble feta cheese over the salad., step 4: dress: drizzle olive oil and sprinkle dried oregano., step 5: toss: gently toss to combine all ingredients., step 6: serve: serve immediately as a side dish or with crusty bread.",Fat-15.0g,Cholesterol-25.0mg,Sodium-400.0mg,Potassium-300.0mg,Carbohydrate-15.0g,Protein-6.0g,Calcium-150.0mg,Iron-1.5mg,Magnesium-20.0mg,Tomatoes 3,Cucumbers 2,Red onion 1,Kalamata olives 1/2 cup,Feta cheese 150 grams,Olive oil 3 tbsp,Dried oregano 1 tsp,missing,missing,missing,missing,8858,21618
10,2,5,Male,72,168,Fit,1430,530,1.0,7,Paella,Dinner,Medium,45,400,User19,"paella is a spanish rice dish originally from valencia. it typically contains a variety of seafood, meats, and vegetables, seasoned with saffron and other spices. it's a flavorful and colorful dish that represents the rich culinary tradition of spain.","step 1: prepare ingredients: chop vegetables, slice chorizo and chicken., step 2: sear meats: brown chicken and chorizo in a paella pan., step 3: saute vegetables: add onions, bell peppers, and garlic., step 4: add rice and saffron: stir in rice and saffron threads., step 5: add broth: pour in chicken broth and simmer until rice is cooked., step 6: add seafood: arrange shrimp on top and cook until pink., step 7: serve: garnish with lemon wedges and parsley.",Fat-10.0g,Cholesterol-60.0mg,Sodium-600.0mg,Potassium-300.0mg,Carbohydrate-60.0g,Protein-20.0g,Calcium-40.0mg,Iron-2.5mg,Magnesium-25.0mg,Arborio rice 2 cups,Chicken thighs 4,Shrimp 300 grams,Chorizo sausage 200 grams,Bell peppers 2,Onion 1,Garlic 3 cloves,Saffron threads 1/2 tsp,missing,missing,missing,8869,18007
8,5,2,Male,78,172,Weight Loss,1550,520,1.0,6,Caesar Salad,Dinner,Easy,15,250,User22,"caesar salad is a classic salad made with romaine lettuce, croutons, parmesan cheese, and caesar dressing. it's a simple yet flavorful salad that's popular in many countries.","step 1: prepare salad: chop lettuce and grate cheese., step 2: assemble: in a large bowl, combine lettuce, croutons, and cheese., step 3: dress: add caesar dressing and toss to combine., step 4: serve: plate salad and garnish with additional parmesan cheese.",Fat-18.0g,Cholesterol-50.0mg,Sodium-400.0mg,Potassium-300.0mg,Carbohydrate-15.0g,Protein-10.0g,Calcium-100.0mg,Iron-1.5mg,Magnesium-15.0mg,Romaine lettuce 1 head,Croutons 1 cup,Parmesan cheese 50 grams,Caesar dressing 1/2 cup,missing,missing,missing,missing,missing,missing,missing,8847,18875
1,2,4,Female,55,142,Fit,1400,600,1.5,10,Paella,Dinner,Medium,45,400,User19,"paella is a spanish rice dish originally from valencia. it typically contains a variety of seafood, meats, and vegetables, seasoned with saffron and other spices. it's a flavorful and colorful dish that represents the rich culinary tradition of spain.","step 1: prepare ingredients: chop vegetables, slice chorizo and chicken., step 2: sear meats: brown chicken and chorizo in a paella pan., step 3: saute vegetables: add onions, bell peppers, and garlic., step 4: add rice and saffron: stir in rice and saffron threads., step 5: add broth: pour in chicken broth and simmer until rice is cooked., step 6: add seafood: arrange shrimp on top and cook until pink., step 7: serve: garnish with lemon wedges and parsley.",Fat-10.0g,Cholesterol-60.0mg,Sodium-600.0mg,Potassium-300.0mg,Carbohydrate-60.0g,Protein-20.0g,Calcium-40.0mg,Iron-2.5mg,Magnesium-25.0mg,Arborio rice 2 cups,Chicken thighs 4,Shrimp 300 grams,Chorizo sausage 200 grams,Bell peppers 2,Onion 1,Garlic 3 cloves,Saffron threads 1/2 tsp,missing,missing,missing,8850,20188
5,6,5,Female,58,150,Weight Loss,1600,600,1.5,9,Miso Soup,Easy,Dinner,15,40,User23,"miso soup is a traditional japanese soup made with dashi broth and miso paste, often containing tofu, seaweed, and green onions. it's a light and comforting dish commonly served as a starter in japanese cuisine.","step 1: prepare dashi: bring dashi stock to a simmer., step 2: dissolve miso: in a bowl, dissolve miso paste in a small amount of hot dashi., step 3: add tofu and wakame: add tofu and wakame seaweed to the simmering stock., step 4: incorporate miso: stir in dissolved miso paste., step 5: garnish: garnish with chopped green onions before serving.",Fat-2.0g,Cholesterol-0.0mg,Sodium-600.0mg,Potassium-50.0mg,Carbohydrate-4.0g,Protein-3.0g,Calcium-20.0mg,Iron-0.5mg,Magnesium-10.0mg,Dashi stock 4 cups,Miso paste 3 tbsp,Tofu 200 grams,Wakame seaweed 1/4 cup,Green onions 2,missing,missing,missing,missing,missing,missing,8854,22203
10,11,5,Male,72,168,Fit,1430,530,1.0,7,Chicken Stir-Fry,Dinner,Medium,30,280,User28,"chicken stir-fry is a quick and easy dish made by stir-frying chicken pieces with vegetables like bell peppers, broccoli, and carrots, in a flavorful sauce made with soy sauce, garlic, ginger, and sesame oil. it's a versatile dish that can be customized with different vegetables and protein.","step 1: prepare chicken: slice chicken into thin strips and marinate with soy sauce, minced garlic, and grated ginger., step 2: chop vegetables: chop bell peppers, broccoli, and carrots into bite-sized pieces., step 3: stir-fry chicken: in a hot pan, stir-fry chicken until browned., step 4: add vegetables: add chopped vegetables and stir-fry until tender-crisp., step 5: add sauce: pour in soy sauce and sesame oil mixture., step 6: serve: serve hot with steamed rice or noodles.",Fat-12.0g,Cholesterol-80.0mg,Sodium-700.0mg,Potassium-400.0mg,Carbohydrate-15.0g,Protein-25.0g,Calcium-40.0mg,Iron-2.0mg,Magnesium-30.0mg,Chicken breast 2,Bell peppers 2,Broccoli 1 cup,Carrots 2,Soy sauce 1/4 cup,Garlic 3 cloves,Ginger 1 inch piece,Sesame oil 2 tbsp,missing,missing,missing,8859,18007
7,4,3,Female,62,158,Fit,1450,550,1.0,8,Ratatouille,Lunch,Easy,40,200,User21,"ratatouille is a french provencal stewed vegetable dish made with eggplant, zucchini, bell peppers, onions, garlic, and tomatoes, seasoned with herbs like thyme and basil. it's a vegetarian dish that's both hearty and healthy.","step 1: prepare vegetables: chop all vegetables into bite-sized pieces., step 2: saute vegetables: in a large pot, saute onions, garlic, and bell peppers., step 3: add remaining vegetables: stir in eggplant, zucchini, and tomatoes., step 4: season: add thyme, basil, salt, and pepper to taste., step 5: simmer: cover and simmer on low heat until vegetables are tender., step 6: serve: garnish with fresh basil leaves.",Fat-8.0g,Cholesterol-0.0mg,Sodium-300.0mg,Potassium-500.0mg,Carbohydrate-30.0g,Protein-5.0g,Calcium-60.0mg,Iron-2.0mg,Magnesium-30.0mg,Eggplant 1,Zucchini 2,Bell peppers 2,Onion 1,Garlic 3 cloves,Tomatoes 3,Thyme 1 tsp,Basil 1/4 cup,missing,missing,missing,8846,20818
